response_id,submitted_at,department,respondent_role,priority_use_case,automation_potential_pct,data_readiness_score,risk_concern_score,oversight_preference
R001,2026-05-05,Legal,Privacy Counsel,Privacy impact review,43,2,5,Review all AI decisions
R002,2026-04-12,Customer Support,CX Operations Lead,Refund response drafting,51,5,3,Random audit sample
R003,2026-04-30,Finance,Procurement Analyst,Cost variance review,42,4,4,High-risk cases only
R004,2026-04-21,Operations,Program Lead,SLA exception detection,71,4,5,High-risk cases only
R005,2026-05-08,Legal,Privacy Counsel,Regulatory intake,28,4,5,High-risk cases only
R006,2026-04-21,Finance,Finance Manager,Invoice coding,48,4,3,High-risk cases only
R007,2026-04-13,Legal,Compliance Manager,Regulatory intake,49,4,4,High-risk cases only
R008,2026-05-03,Content Moderation,Policy Operations Lead,Policy queue prioritization,53,3,5,Review all AI decisions
R009,2026-04-15,Operations,Program Lead,Queue forecasting,71,4,5,Review all AI decisions
R010,2026-05-12,Operations,Program Lead,Queue forecasting,76,4,3,Random audit sample
R011,2026-05-02,Content Moderation,Queue Supervisor,Image review support,59,2,5,Review all AI decisions
R012,2026-04-07,Data Entry,Back Office Lead,Form extraction,88,3,3,Random audit sample
R013,2026-05-11,Content Moderation,Queue Supervisor,Image review support,49,3,5,Review all AI decisions
R014,2026-04-10,Data/Analytics,Data Product Lead,Metric anomaly review,60,4,5,High-risk cases only
R015,2026-05-03,Data/Analytics,Analytics Manager,Data quality monitoring,61,3,4,High-risk cases only
R016,2026-04-30,Finance,Finance Manager,Cost variance review,66,5,3,Random audit sample
R017,2026-05-05,Customer Support,Support Manager,Ticket triage,63,5,4,Random audit sample
R018,2026-05-01,Content Moderation,Queue Supervisor,Policy queue prioritization,48,2,4,High-risk cases only
R019,2026-04-07,Customer Support,Escalation Lead,Account troubleshooting,72,4,3,High-risk cases only
R020,2026-04-09,Legal,Compliance Manager,Terms screening,35,4,4,Random audit sample
R021,2026-05-16,Content Moderation,Queue Supervisor,Policy queue prioritization,52,3,5,Review all AI decisions
R022,2026-04-25,Data Entry,Data Operations Manager,Invoice field validation,81,4,4,High-risk cases only
R023,2026-05-13,Customer Support,Support Manager,Ticket triage,52,4,3,High-risk cases only
R024,2026-05-12,Customer Support,Escalation Lead,Account troubleshooting,62,3,3,High-risk cases only
R025,2026-05-17,Customer Support,Support Manager,Ticket triage,56,4,3,High-risk cases only
R026,2026-05-10,Content Moderation,Trust and Safety Manager,Policy queue prioritization,46,4,5,Review all AI decisions
R027,2026-05-01,Content Moderation,Policy Operations Lead,Policy queue prioritization,44,2,5,Review all AI decisions
R028,2026-05-08,Finance,Procurement Analyst,Invoice coding,66,3,2,Random audit sample
R029,2026-05-04,Data Entry,Workflow Coordinator,Form extraction,81,3,2,Random audit sample
R030,2026-04-11,Data Entry,Data Operations Manager,Duplicate record cleanup,80,5,3,High-risk cases only
R031,2026-04-20,Data/Analytics,Data Product Lead,Metric anomaly review,63,4,4,High-risk cases only
R032,2026-04-15,Operations,Workforce Planning Lead,Queue forecasting,57,3,3,High-risk cases only
R033,2026-04-30,Content Moderation,Policy Operations Lead,Policy queue prioritization,45,3,5,High-risk cases only
R034,2026-05-14,Data/Analytics,Analytics Manager,Experiment readouts,84,3,4,High-risk cases only
R035,2026-05-13,Content Moderation,Policy Operations Lead,Image review support,51,4,5,High-risk cases only
R036,2026-04-21,Data/Analytics,BI Analyst,Experiment readouts,62,5,3,High-risk cases only
R037,2026-05-09,Legal,Compliance Manager,Regulatory intake,49,3,5,High-risk cases only
R038,2026-05-16,Data/Analytics,Analytics Manager,Metric anomaly review,77,4,5,Review all AI decisions
R039,2026-05-16,Data/Analytics,Data Product Lead,Metric anomaly review,65,5,4,High-risk cases only
R040,2026-05-12,Customer Support,CX Operations Lead,Account troubleshooting,57,4,2,Random audit sample
R041,2026-04-08,Customer Support,CX Operations Lead,Ticket triage,63,4,3,Random audit sample
R042,2026-04-15,Finance,FP&A Lead,Cost variance review,41,4,2,High-risk cases only
R043,2026-05-12,Data/Analytics,Analytics Manager,Metric anomaly review,61,3,5,Review all AI decisions
R044,2026-05-04,Finance,Finance Manager,Invoice coding,56,3,3,Random audit sample
R045,2026-04-11,Legal,Risk Officer,Privacy impact review,33,4,4,Random audit sample
R046,2026-04-15,Legal,Compliance Manager,Regulatory intake,49,3,4,High-risk cases only
R047,2026-04-07,Customer Support,Support Manager,Refund response drafting,64,4,3,High-risk cases only
